,word,pinyin,definition
1870,任务,rèn wù,"mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]"
1871,人员,rén yuán,staff/crew/personnel/CL:個|个[ge4]
1873,仍然,réng rán,still; as before; yet
1874,日常,rì cháng,day-to-day; daily; everyday
1875,容易,róng yì,easy; straightforward/likely; liable to; apt to
1876,如何,rú hé,how/what way/what
1877,散步,sàn bù,to take a walk; to go for a walk
1878,沙发,shā fā,"sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post"
1879,沙子,shā zi,"sand/grit/CL:粒[li4],把[ba3]"
1881,上来,shàng lái,to come up/to approach/(verb complement indicating success)
1882,上面,shàng miàn,on top of/above-mentioned/also pr. [shang4 mian5]
1883,商品,shāng pǐn,commodity/goods/merchandise/CL:個|个[ge4]
1884,上去,shǎng qù,to go up
1885,上升,shàng shēng,to rise/to go up/to ascend
1886,伤心,shāng xīn,to grieve/to be broken-hearted/to feel deeply hurt
1887,商业,shāng yè,business/trade/commerce
1888,上衣,shàng yī,jacket/upper outer garment/CL:件[jian4]
1889,设备,shè bèi,equipment; facilities; installations/CL:個|个[ge4]
1890,社会,shè huì,society/CL:個|个[ge4]
1891,设计,shè jì,to design; to plan/design; plan
1892,设立,shè lì,to set up; to establish
1895,深刻,shēn kè,profound/deep/deep-going
1896,深入,shēn rù,to penetrate deeply/thorough
1899,生产,shēng chǎn,to produce; to manufacture/to give birth to a child
1900,生存,shēng cún,to exist/to survive
1901,生动,shēng dòng,vivid/lively
1902,生命,shēng mìng,"life (as the characteristic of living beings)/living being; creature/CL:個|个[ge4],條|条[tiao2]"
1903,声明,shēng míng,"to state/to declare/statement/declaration/CL:項|项[xiang4],份[fen4]"
1905,胜利,shèng lì,victory/CL:個|个[ge4]
1906,生意,shēng yì,business/CL:筆|笔[bi3]
1907,生长,shēng zhǎng,to grow/to grow up/to be brought up
1911,市场,shì chǎng,marketplace/market (also in abstract)
1912,时代,shí dài,age/era/epoch/period (in one's life)/CL:個|个[ge4]
1913,适合,shì hé,to fit; to suit
1914,世纪,shì jì,century/CL:個|个[ge4]
1916,世界,shì jiè,world (CL:個|个[ge4])
1918,时刻,shí kè,"time/juncture/moment/period of time/CL:個|个[ge4],段[duan4]/constantly/always"
1919,适用,shì yòng,to be applicable
1920,实力,shí lì,strength
1921,食品,shí pǐn,foodstuff; food; provisions/CL:種|种[zhong3]
1923,试题,shì tí,exam question/test topic
1924,石头,shí tou,stone/CL:塊|块[kuai4]
1925,实行,shí xíng,to implement/to carry out/to put into practice
1926,实验,shí yàn,"experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment"
1927,试验,shì yàn,"experiment/test/CL:次[ci4],個|个[ge4]/to experiment/experimental"
1929,失去,shī qù,to lose
1930,适应,shì yìng,to adapt/to fit/to suit
1931,石油,shí yóu,oil/petroleum
1932,始终,shǐ zhōng,from beginning to end/all along
1933,事故,shì gù,"accident/CL:樁|桩[zhuang1],起[qi3],次[ci4]"
1934,事件,shì jiàn,event/happening/incident/CL:個|个[ge4]
1935,事实,shì shí,fact/CL:個|个[ge4]
1936,事业,shì yè,"undertaking/project/activity/(charitable, political or revolutionary) cause/publicly funded institution, enterprise or foundation/career/occupation/CL:個|个[ge4]"
1938,受伤,shòu shāng,to sustain injuries/wounded (in an accident etc)/harmed
1939,首都,shǒu dū,capital (city)/CL:個|个[ge4]
1940,收费,shōu fèi,to charge a fee
1941,收看,shōu kàn,to watch (a TV program)
1942,收听,shōu tīng,to listen to (a radio broadcast)
1943,首先,shǒu xiān,first (of all)/in the first place
1944,手续,shǒu xù,"procedure/CL:道[dao4],個|个[ge4]/formalities"
1946,手指,shǒu zhǐ,"finger/CL:個|个[ge4],隻|只[zhi1]"
1949,书架,shū jià,bookshelf/CL:個|个[ge4]
1950,数量,shù liàng,amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity
1951,输入,shū rù,to import/to input
1952,熟人,shú rén,acquaintance/friend
1954,属于,shǔ yú,to be classified as/to belong to/to be part of
1956,双方,shuāng fāng,bilateral/both sides/both parties involved
1958,思想,sī xiǎng,thought/thinking/idea/ideology/CL:個|个[ge4]
1959,速度,sù dù,speed/rate/velocity/(music) tempo/CL:個|个[ge4]
1962,所长,suǒ zhǎng,head of an institute etc
1965,谈话,tán huà,to talk (with sb)/to have a conversation/talk/conversation/CL:次[ci4]
1966,谈判,tán pàn,to negotiate/negotiation/talks/conference/CL:個|个[ge4]
1969,特色,tè sè,characteristic/distinguishing feature or quality
1970,体会,tǐ huì,to know from experience/to learn through experience/to realize/understanding/experience
1971,题目,tí mù,subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])
1972,提前,tí qián,to shift to an earlier date/to do sth ahead of time/in advance
1973,提问,tí wèn,to question; to quiz; to grill
1974,体现,tǐ xiàn,to embody/to reflect/to incarnate
1975,体验,tǐ yàn,to experience for oneself
1977,天空,tiān kōng,sky
1979,跳高,tiào gāo,high jump (athletics)
1980,跳舞,tiào wǔ,to dance
1981,跳远,tiào yuǎn,long jump (athletics)
1982,调整,tiáo zhěng,to adjust/adjustment/revision/CL:個|个[ge4]
1984,铁路,tiě lù,railroad/railway/CL:條|条[tiao2]
1985,听力,tīng lì,hearing/listening ability
1986,听众,tīng zhòng,audience/listeners
1987,停止,tíng zhǐ,to stop; to halt; to cease
1989,痛苦,tòng kǔ,pain/suffering/painful/CL:個|个[ge4]
1990,通常,tōng cháng,regular/usual/normal/usually/normally
1991,通信,tōng xìn,to correspond (by letter etc)/to communicate/communication
1992,同意,tóng yì,to agree/to consent/to approve
1993,头脑,tóu nǎo,brains/mind/skull/(fig.) gist (of a matter)/leader/boss
1996,突出,tū chū,prominent/outstanding/to give prominence to/to protrude/to project
1998,图画,tú huà,drawing/picture
1999,突然,tū rán,sudden; abrupt; unexpected
2000,团结,tuán jié,to unite/unity/solidarity/united
2002,团体,tuán tǐ,group/organization/team/CL:個|个[ge4]
2004,退出,tuì chū,to withdraw/to abort/to quit/to log out (computing)
2005,推动,tuī dòng,to push (e.g. for acceptance of a plan); to promote; to give impetus to
2006,推广,tuī guǎng,to extend/to spread/to popularize/generalization/promotion (of a product etc)
2007,推进,tuī jìn,to impel/to carry forward/to push on/to advance/to drive forward
2008,推开,tuī kāi,to push open (a gate etc)/to push away/to reject/to decline
2009,退休,tuì xiū,to retire (from the workforce); to go into retirement
2010,外交,wài jiāo,diplomacy/diplomatic/foreign affairs/CL:個|个[ge4]
2011,外面,wài miàn,outside (also pr. [wai4 mian5] for this sense)/surface/exterior/external appearance
2012,外文,wài wén,foreign language (written)
2013,玩具,wán jù,plaything/toy
2014,完美,wán měi,perfect
2015,完善,wán shàn,"(of systems, facilities etc) comprehensive/well-developed/excellent/to refine/to improve"
2016,完整,wán zhěng,complete/intact
2017,往往,wǎng wǎng,usually/in many cases/more often than not
2019,伟大,wěi dà,huge; great; grand; worthy of the greatest admiration; important (contribution etc)
2020,危害,wēi hài,to jeopardize/to harm/to endanger/harmful effect/damage/CL:個|个[ge4]
2021,为了,wèi le,for; for the purpose of; in order to
2022,卫生,wèi shēng,health/hygiene/sanitation
2026,危险,wēi xiǎn,danger/dangerous
2027,文化,wén huà,"culture/civilization/cultural/CL:個|个[ge4],種|种[zhong3]"
2028,文件,wén jiàn,document/file/CL:份[fen4]
2029,文明,wén míng,civilized/civilization/culture/CL:個|个[ge4]
2030,文学,wén xué,literature/CL:種|种[zhong3]
2031,温暖,wēn nuǎn,warm
2032,文章,wén zhāng,"article/essay/literary works/writings/hidden meaning/CL:篇[pian1],段[duan4],頁|页[ye4]"
2033,文字,wén zì,character/script/writing/written language/writing style/phraseology/CL:個|个[ge4]
2034,握手,wò shǒu,to shake hands
2035,武器,wǔ qì,weapon/arms/CL:種|种[zhong3]
2036,武术,wǔ shù,military skill or technique (in former times)/all kinds of martial art sports (some claiming spiritual development)/self-defense/tradition of choreographed fights from opera and film (recent usage)/also called kungfu 功夫/CL:種|种[zhong3]
2037,舞台,wǔ tái,(lit. and fig.) stage; arena
2038,屋子,wū zi,house/room/CL:間|间[jian1]
2039,西部,xī bù,western part
2041,希望,xī wàng,to hope/a hope; a wish (CL:個|个[ge4])
2042,下来,xià lái,"to come down/(completed action marker)/(after verb of motion, indicates motion down and towards us, also fig.)/(indicates continuation from the past towards us)/to be harvested (of crops)/to be over (of a period of time)/to go among the masses (said of leaders)"
2043,下面,xià miàn,to boil noodles
2044,下去,xià qù,to go down/to descend/to go on/to continue/(of a servant) to withdraw
2046,现场,xiàn chǎng,"the scene (of a crime, accident etc)/(on) the spot/(at) the site"
2047,现代,xiàn dài,modern times/modern age/modern era
2048,显得,xiǎn de,to seem/to look/to appear
2049,先进,xiān jìn,sophisticated; advanced (technology etc)/meritorious; exemplary (deeds etc)
2050,现金,xiàn jīn,cash
2051,显然,xiǎn rán,clearly; evidently; obviously
2052,现实,xiàn shí,reality; actuality/real; actual/realistic; pragmatic; materialistic; self-interested
2053,显示,xiǎn shì,to show/to illustrate/to display/to demonstrate
2054,现象,xiàn xiàng,"phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance"
2056,相比,xiāng bǐ,to compare
2057,相当,xiāng dāng,equivalent to/appropriate/considerably/to a certain extent/fairly/quite
2058,相关,xiāng guān,related/relevant/pertinent/to be interrelated/(statistics) correlation
2059,相互,xiāng hù,each other/mutual
2060,香蕉,xiāng jiāo,"banana/CL:枝[zhi1],根[gen1],個|个[ge4],把[ba3]"
2061,相似,xiāng sì,similar; alike
2062,消费,xiāo fèi,"to consume (goods and services, resources etc)"
2063,效果,xiào guǒ,result/effect/efficacy/(theater) sound or visual effects
2064,消失,xiāo shī,to disappear; to fade away
2065,消息,xiāo xī,news/information/CL:條|条[tiao2]
2066,写作,xiě zuò,to write/to compose/writing/written works
2068,信封,xìn fēng,envelope/CL:個|个[ge4]
2069,信任,xìn rèn,to trust/to have confidence in
2072,性别,xìng bié,gender/sex
2073,形成,xíng chéng,to form/to take shape
2074,性格,xìng gé,nature/disposition/temperament/character/CL:個|个[ge4]
2076,行李,xíng lǐ,luggage/CL:件[jian4]
2077,幸福,xìng fú,happiness/happy/blessed
2078,幸运,xìng yùn,fortunate/lucky/fortune/luck
2079,形式,xíng shì,outer appearance/form/shape/formality/CL:個|个[ge4]
2080,形象,xíng xiàng,image/form/figure/CL:個|个[ge4]/visualization/vivid
2081,形状,xíng zhuàng,form; shape/CL:個|个[ge4]
2083,修改,xiū gǎi,to amend/to alter/to modify
2084,需求,xū qiú,requirement/to require/(economics) demand
2085,需要,xū yào,to need; to want; to demand; to require/needs
2086,宣布,xuān bù,to declare/to announce/to proclaim
2087,宣传,xuān chuán,to disseminate/to give publicity to/propaganda/CL:個|个[ge4]
2088,选手,xuǎn shǒu,athlete/contestant
2089,学费,xué fèi,tuition fee/tuition/CL:個|个[ge4]
2091,训练,xùn liàn,to train/to drill/training/CL:個|个[ge4]
2092,压力,yā lì,pressure
2094,眼前,yǎn qián,before one's eyes/now/at present
2096,演唱,yǎn chàng,to sing (for an audience)/vocal performance
2098,演出,yǎn chū,"to act (in a play)/to perform/to put on (a performance)/performance/concert/show/CL:場|场[chang3],次[ci4]"
2100,演员,yǎn yuán,"actor or actress/performer/CL:個|个[ge4],位[wei4],名[ming2]"
2102,阳光,yáng guāng,sunshine/(of personality) upbeat; energetic/transparent (open to public scrutiny)
2103,要是,yào shì,(coll.) if
2105,一切,yī qiè,everything/every/all
2106,艺术,yì shù,art
2108,以来,yǐ lái,since (a previous event)
2109,衣架,yī jià,clothes hanger/clothes rack
2110,意外,yì wài,unexpected/accident/mishap/CL:個|个[ge4]
2111,意义,yì yì,sense/meaning/significance/importance/CL:個|个[ge4]
2113,因此,yīn cǐ,thus; consequently; as a result
2114,银牌,yín pái,silver medal/CL:枚[mei2]
2115,印象,yìn xiàng,impression (sth that stays in one's mind)/a memory
2117,应当,yīng dāng,should; ought to
2118,影视,yǐng shì,movies and television
2119,营养,yíng yǎng,nutrition/nourishment/CL:種|种[zhong3]
2120,迎接,yíng jiē,to welcome; to greet
2121,应用,yìng yòng,"to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app"
2123,邮件,yóu jiàn,mail/post/email
2124,有利,yǒu lì,advantageous; favorable
2126,游戏,yóu xì,game/CL:場|场[chang3]/to play
2127,游泳,yóu yǒng,swimming/to swim
2128,邮票,yóu piào,"(postage) stamp/CL:枚[mei2],張|张[zhang1]"
2129,邮箱,yóu xiāng,mailbox/post office box/email/email inbox
2130,有效,yǒu xiào,effective/in effect/valid
2132,由于,yóu yú,due to/as a result of/thanks to/owing to/since/because
2133,优点,yōu diǎn,"merit/benefit/strong point/advantage/CL:個|个[ge4],項|项[xiang4]"
2134,优势,yōu shì,superiority/dominance/advantage
2135,预报,yù bào,forecast
2136,预防,yù fáng,to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic
2137,预计,yù jì,to forecast/to predict/to estimate
2138,预习,yù xí,to prepare a lesson
2139,员工,yuán gōng,staff/personnel/employee
2140,愿望,yuàn wàng,desire/wish
2142,乐队,yuè duì,band/pop group/CL:支[zhi1]
2144,运输,yùn shū,to transport/to carry/transportation
2145,杂志,zá zhì,"magazine/CL:本[ben3],份[fen4],期[qi1]"
2147,造成,zào chéng,to bring about/to create/to cause
2148,早已,zǎo yǐ,for a long time; long since/(dialect) in the past
2149,责任,zé rèn,responsibility/blame/duty/CL:個|个[ge4]
2150,增加,zēng jiā,to raise; to increase
2151,增长,zēng zhǎng,to grow/to increase
2152,展开,zhǎn kāi,to unfold; to spread out; to open up/to launch; to carry out
2156,真实,zhēn shí,true; real
2160,整个,zhěng gè,whole/entire/total
2161,证件,zhèng jiàn,certificate; papers; credentials; document; ID
2162,证据,zhèng jù,evidence/proof/testimony
2163,整理,zhěng lǐ,"to arrange/to tidy up/to sort out/to straighten out/to list systematically/to collate (data, files)/to pack (luggage)"
2164,证明,zhèng míng,proof/certificate/identification/testimonial/CL:個|个[ge4]/to prove/to testify/to confirm the truth of
2165,整齐,zhěng qí,orderly/neat/even/tidy
2166,争取,zhēng qǔ,to fight for/to strive for/to win over
2167,正式,zhèng shì,formal; official
2168,整体,zhěng tǐ,"whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole"
2169,整天,zhěng tiān,all day long/whole day
2171,整整,zhěng zhěng,whole/full
2174,直播,zhí bō,"(TV, radio) to broadcast live/live broadcast/(Internet) to livestream/(agriculture) direct seeding"
2175,直到,zhí dào,until
2176,值得,zhí de,to be worth/to deserve
2177,至今,zhì jīn,so far/to this day/until now
2178,制定,zhì dìng,to draw up; to formulate
2179,制度,zhì dù,"system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]"
